,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
52,New York City,40.7308619,-73.9871558,KazuNori: The Original Hand Roll Bar,40.745156795853866,-73.98821168140111,Japanese Restaurant
53,New York City,40.7308619,-73.9871558,The Garden at St. Luke in the Fields,40.731779943709725,-74.00666673502485,Garden
54,New York City,40.7308619,-73.9871558,The NoMad Bar,40.745056,-73.988289,Cocktail Bar
55,New York City,40.7308619,-73.9871558,Metrograph,40.714998539086416,-73.99103539533131,Indie Movie Theater
56,New York City,40.7308619,-73.9871558,Kiki's,40.714476082876864,-73.99203609673215,Greek Restaurant
57,New York City,40.7308619,-73.9871558,Hudson River Park,40.733227002381305,-74.0104541746021,Park
58,New York City,40.7308619,-73.9871558,West Side Highway Running Path,40.73255155774,-74.01057958602905,Trail
59,New York City,40.7308619,-73.9871558,Los Mariscos,40.74199972810892,-74.00589003225507,Seafood Restaurant
60,New York City,40.7308619,-73.9871558,Los Tacos No.1,40.74224400629671,-74.00596115738153,Taco Place
61,New York City,40.7308619,-73.9871558,Chelsea Market,40.742271871914056,-74.00555932165504,Market
62,New York City,40.7308619,-73.9871558,Aire Ancient Baths,40.718141411641234,-74.00494121234846,Spa
63,New York City,40.7308619,-73.9871558,Whitney Museum of American Art,40.739521922152555,-74.00893351271802,Art Museum
64,New York City,40.7308619,-73.9871558,Lobster Place,40.7427146347602,-74.00610709313153,Fish Market
65,New York City,40.7308619,-73.9871558,The Morgan Library & Museum,40.74930521896097,-73.9814293384552,Museum
66,New York City,40.7308619,-73.9871558,High Line 10th Ave Amphitheatre,40.74398136118615,-74.00684429247669,Scenic Lookout
67,New York City,40.7308619,-73.9871558,Arcade Bakery,40.71707213063327,-74.00660521707641,Bakery
68,New York City,40.7308619,-73.9871558,WNYC Transmitter Park,40.72974545560094,-73.96082272649379,Park
69,New York City,40.7308619,-73.9871558,High Line,40.746825,-74.005507,Park
70,New York City,40.7308619,-73.9871558,Locanda Verde,40.72009026528728,-74.01040508337252,Italian Restaurant
71,New York City,40.7308619,-73.9871558,Paulie Gee’s,40.729801246987186,-73.95852046352437,Pizza Place
72,New York City,40.7308619,-73.9871558,Domino Park,40.715406,-73.967318,Park
73,New York City,40.7308619,-73.9871558,MUJI,40.75247095108687,-73.98134887218475,Miscellaneous Shop
74,New York City,40.7308619,-73.9871558,David Zwirner Gallery,40.74663515827365,-74.007328748703,Art Gallery
75,New York City,40.7308619,-73.9871558,New York Public Library Terrace,40.75301665207755,-73.98147986022437,Park
76,New York City,40.7308619,-73.9871558,Pier 25 - Hudson River Park,40.72019260471762,-74.01295032920208,Park
